Pais;Variable;Fecha;Dato
Colombia;Mecanismo I;31/03/2023;212
Colombia;Mecanismo II;31/03/2023;79
Colombia;Mecanismo III;31/03/2023;176
Ecuador;Mecanismo I;31/03/2023;1
Ecuador;Mecanismo II;31/03/2023;5
Ecuador;Mecanismo III;31/03/2023;10
Peru;Mecanismo I;31/03/2023;14
Peru;Mecanismo II;31/03/2023;46
Peru;Mecanismo III;31/03/2023;163
Colombia;Mecanismo I;30/06/2023;72
Colombia;Mecanismo II;30/06/2023;108
Colombia;Mecanismo III;30/06/2023;124
Ecuador;Mecanismo I;30/06/2023;12
Ecuador;Mecanismo II;30/06/2023;18
Ecuador;Mecanismo III;30/06/2023;21
Peru;Mecanismo I;30/06/2023;164
Peru;Mecanismo II;30/06/2023;132
Peru;Mecanismo III;30/06/2023;339
Colombia;Mecanismo I;31/12/2023;185
Colombia;Mecanismo II;31/12/2023;105
Colombia;Mecanismo III;31/12/2023;386
Ecuador;Mecanismo I;31/12/2023;31
Ecuador;Mecanismo II;31/12/2023;34
Ecuador;Mecanismo III;31/12/2023;59
Peru;Mecanismo I;31/12/2023;39
Peru;Mecanismo II;31/12/2023;13
Peru;Mecanismo III;31/12/2023;158
Colombia;Mecanismo I;31/03/2024;57
Colombia;Mecanismo II;31/03/2024;30
Colombia;Mecanismo III;31/03/2024;196
Ecuador;Mecanismo I;31/03/2024;3
Ecuador;Mecanismo II;31/03/2024;3
Ecuador;Mecanismo III;31/03/2024;7
Peru;Mecanismo I;31/03/2024;67
Peru;Mecanismo II;31/03/2024;80
Peru;Mecanismo III;31/03/2024;277
Colombia;Mecanismo I;30/06/2024;56
Colombia;Mecanismo II;30/06/2024;44
Colombia;Mecanismo III;30/06/2024;102
Ecuador;Mecanismo I;30/06/2024;3
Ecuador;Mecanismo II;30/06/2024;0
Ecuador;Mecanismo III;30/06/2024;7
Peru;Mecanismo I;30/06/2024;79
Peru;Mecanismo II;30/06/2024;37
Peru;Mecanismo III;30/06/2024;81
Chile;Mecanismo I;30/06/2024;2
Chile;Mecanismo II;30/06/2024;7
Chile;Mecanismo III;30/06/2024;8
Colombia;Mecanismo I;30/09/2024;72
Colombia;Mecanismo II;30/09/2024;83
Colombia;Mecanismo III;30/09/2024;66
Ecuador;Mecanismo I;30/09/2024;7
Ecuador;Mecanismo II;30/09/2024;8
Ecuador;Mecanismo III;30/09/2024;13
Peru;Mecanismo I;30/09/2024;219
Peru;Mecanismo II;30/09/2024;100
Peru;Mecanismo III;30/09/2024;123
Colombia;Mecanismo I;30/09/2023;102
Colombia;Mecanismo II;30/09/2023;115
Colombia;Mecanismo III;30/09/2023;164
Ecuador;Mecanismo I;30/09/2023;11
Ecuador;Mecanismo II;30/09/2023;12
Ecuador;Mecanismo III;30/09/2023;9
Peru;Mecanismo I;30/09/2023;33
Peru;Mecanismo II;30/09/2023;29
Peru;Mecanismo III;30/09/2023;51
Colombia;Mecanismo I;31/12/2024;26
Colombia;Mecanismo II;31/12/2024;11
Colombia;Mecanismo III;31/12/2024;25
Ecuador;Mecanismo I;31/12/2024;4
Ecuador;Mecanismo II;31/12/2024;3
Ecuador;Mecanismo III;31/12/2024;5
Peru;Mecanismo I;31/12/2024;44
Peru;Mecanismo II;31/12/2024;24
Peru;Mecanismo III;31/12/2024;50
Chile;Mecanismo I;31/12/2024;1
Chile;Mecanismo II;31/12/2024;4
Chile;Mecanismo III;31/12/2024;2